b_peculiar_version='b1.2_seh_2021/11/17'
# station  n.points  offset  stdev
b='''
Gs   30    0.622   0.006
Is   11    1.277   0.010
K2   30    0.461   0.006
Mg   30    0.220   0.027
Oe   27    6.212   0.005
Ow   28    6.182   0.005
Wf   28    0.985   0.114
Ws   27    1.553   0.042
Yj   25   -0.172   0.059
'''
